Instances,Greedy algorithm,Variable neighborhood search (VNS),PuLP linar programming
"Instance 2lvl
|V| = 500
|E| = 124358","|Ds| = 9
weight = 189
T(s) = 2.029",0,"|Ds| = 6
weight = 63.0
T(s) = 86.627"
"Instance 2lvl
|V| = 500
|E| = 125145","|Ds| = 10
weight = 301
T(s) = 1.401",0,"|Ds| = 6
weight = 70.0
T(s) = 64.363"
"Instance 2lvl
|V| = 500
|E| = 124658","|Ds| = 8
weight = 169
T(s) = 1.344",0,"|Ds| = 6
weight = 65.0
T(s) = 64.949"
"Instance 2lvl
|V| = 500
|E| = 124685","|Ds| = 8
weight = 196
T(s) = 1.513",0,"|Ds| = 5
weight = 61.0
T(s) = 57.462"
"Instance 2lvl
|V| = 500
|E| = 125144","|Ds| = 8
weight = 159
T(s) = 1.765",0,"|Ds| = 6
weight = 66.0
T(s) = 138.776"
"Instance 2lvl
|V| = 500
|E| = 124848","|Ds| = 10
weight = 376
T(s) = 1.117",0,"|Ds| = 6
weight = 71.0
T(s) = 54.408"
"Instance 2lvl
|V| = 500
|E| = 125377","|Ds| = 9
weight = 269
T(s) = 1.507",0,"|Ds| = 6
weight = 70.0
T(s) = 88.341"
"Instance 2lvl
|V| = 500
|E| = 124917","|Ds| = 9
weight = 242
T(s) = 1.386",0,"|Ds| = 6
weight = 67.0
T(s) = 95.684"
"Instance 2lvl
|V| = 500
|E| = 124613","|Ds| = 9
weight = 253
T(s) = 1.228",0,"|Ds| = 6
weight = 70.0
T(s) = 72.351"
"Instance 2lvl
|V| = 500
|E| = 124815","|Ds| = 9
weight = 297
T(s) = 1.536",0,"|Ds| = 6
weight = 64.0
T(s) = 56.132"
